	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
61	0.24675	0.07152	0.00454	0.16077	0.68020	0.00905	0.19826	0.05803	0.01008	0.14321	0.63346	0.01748	0.20835	0.04430	0.01645	0.14340	0.63958	0.02614	0.02427	-0.00646	0.02093	0.07403	0.45032	0.02784
62	0.24663	0.07174	0.00457	0.16016	0.68009	0.00910	0.19812	0.05821	0.00981	0.14268	0.63327	0.01724	0.20824	0.04450	0.01618	0.14294	0.63939	0.02590	0.02423	-0.00645	0.02120	0.07369	0.45009	0.02823
63	0.24646	0.07184	0.00478	0.15973	0.67988	0.00928	0.19790	0.05825	0.00933	0.14222	0.63292	0.01643	0.20806	0.04458	0.01571	0.14256	0.63907	0.02505	0.02415	-0.00663	0.02158	0.07300	0.44991	0.02889
64	0.24631	0.07186	0.00486	0.15991	0.67962	0.00938	0.19773	0.05821	0.00903	0.14224	0.63261	0.01580	0.20792	0.04457	0.01541	0.14264	0.63880	0.02440	0.02408	-0.00685	0.02178	0.07237	0.44993	0.02939
65	0.24626	0.07182	0.00482	0.16059	0.67941	0.00923	0.19769	0.05817	0.00919	0.14273	0.63251	0.01594	0.20788	0.04451	0.01555	0.14310	0.63871	0.02453	0.02403	-0.00689	0.02170	0.07220	0.45008	0.02942
66	0.24626	0.07178	0.00491	0.16126	0.67923	0.00896	0.19773	0.05815	0.00963	0.14327	0.63252	0.01657	0.20789	0.04445	0.01593	0.14354	0.63872	0.02516	0.02398	-0.00680	0.02151	0.07240	0.45015	0.02912
67	0.24624	0.07172	0.00513	0.16145	0.67906	0.00878	0.19771	0.05811	0.00989	0.14342	0.63246	0.01700	0.20786	0.04436	0.01612	0.14360	0.63867	0.02560	0.02391	-0.00679	0.02146	0.07255	0.45005	0.02889
68	0.24616	0.07163	0.00523	0.16109	0.67897	0.00876	0.19761	0.05800	0.00982	0.14311	0.63237	0.01701	0.20778	0.04425	0.01603	0.14325	0.63858	0.02560	0.02386	-0.00697	0.02154	0.07248	0.44987	0.02889
69	0.24603	0.07159	0.00506	0.16051	0.67905	0.00877	0.19749	0.05791	0.00961	0.14263	0.63237	0.01681	0.20768	0.04419	0.01584	0.14277	0.63860	0.02539	0.02382	-0.00723	0.02162	0.07238	0.44975	0.02904
70	0.24587	0.07171	0.00474	0.16000	0.67923	0.00874	0.19736	0.05798	0.00938	0.14224	0.63246	0.01655	0.20757	0.04431	0.01569	0.14237	0.63871	0.02512	0.02379	-0.00739	0.02165	0.07244	0.44970	0.02928
