	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
221	0.00877	0.20346	0.01355	-0.04249	0.49488	0.01289
222	0.00872	0.20341	0.01355	-0.04249	0.49494	0.01279
223	0.00872	0.20340	0.01359	-0.04257	0.49496	0.01274
224	0.00874	0.20345	0.01367	-0.04271	0.49494	0.01277
225	0.00877	0.20354	0.01377	-0.04291	0.49490	0.01285
226	0.00881	0.20363	0.01388	-0.04312	0.49484	0.01295
227	0.00884	0.20368	0.01399	-0.04331	0.49478	0.01300
228	0.00888	0.20366	0.01406	-0.04344	0.49474	0.01298
229	0.00892	0.20359	0.01411	-0.04347	0.49474	0.01288
230	0.00896	0.20354	0.01412	-0.04342	0.49480	0.01275
231	0.00898	0.20355	0.01408	-0.04330	0.49489	0.01264
232	0.00897	0.20365	0.01396	-0.04312	0.49498	0.01258
233	0.00892	0.20383	0.01378	-0.04293	0.49506	0.01258
234	0.00885	0.20409	0.01357	-0.04276	0.49510	0.01260
235	0.00878	0.20438	0.01335	-0.04263	0.49513	0.01263
236	0.00873	0.20465	0.01316	-0.04254	0.49514	0.01268
237	0.00873	0.20488	0.01302	-0.04251	0.49517	0.01276
238	0.00877	0.20505	0.01292	-0.04252	0.49520	0.01291
239	0.00885	0.20516	0.01285	-0.04256	0.49526	0.01313
240	0.00893	0.20521	0.01281	-0.04264	0.49534	0.01341
241	0.00900	0.20520	0.01279	-0.04273	0.49545	0.01378
242	0.00902	0.20514	0.01280	-0.04284	0.49559	0.01422
243	0.00897	0.20504	0.01286	-0.04295	0.49574	0.01476
244	0.00887	0.20490	0.01297	-0.04308	0.49589	0.01539
245	0.00872	0.20478	0.01309	-0.04318	0.49605	0.01607
246	0.00859	0.20471	0.01317	-0.04323	0.49621	0.01677
247	0.00852	0.20472	0.01318	-0.04322	0.49640	0.01749
248	0.00851	0.20481	0.01311	-0.04319	0.49665	0.01825
249	0.00858	0.20497	0.01298	-0.04312	0.49693	0.01908
250	0.00868	0.20516	0.01282	-0.04302	0.49725	0.01998
251	0.00879	0.20534	0.01266	-0.04291	0.49759	0.02097
252	0.00884	0.20551	0.01253	-0.04283	0.49794	0.02205
253	0.00881	0.20572	0.01243	-0.04283	0.49830	0.02325
