	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
221	3.60624	-32.06176	249.86067	1.77786	36.26917	572.13159
222	3.78391	-32.67708	253.67857	1.97463	36.29793	567.22809
223	3.95439	-33.23876	257.22601	2.07989	36.26369	562.26099
224	4.12367	-33.76117	260.51907	2.14957	36.17983	557.49335
225	4.30998	-34.29259	263.67563	2.24811	36.06483	553.12036
226	4.53786	-34.90327	266.86734	2.40455	35.92628	549.24402
227	4.81430	-35.65775	270.26300	2.60807	35.77335	545.84161
228	5.12851	-36.59841	273.98853	2.84561	35.61683	542.77686
229	5.44928	-37.74435	278.12311	3.10207	35.46874	539.88269
230	5.71855	-39.11639	282.67725	3.37758	35.33476	537.03845
231	5.87379	-40.72526	287.56540	3.67525	35.21001	534.23248
232	5.87038	-42.54514	292.62012	3.97280	35.09109	531.52612
233	5.70876	-44.51607	297.63519	4.22561	34.98603	528.94305
234	5.42616	-46.55422	302.44891	4.40404	34.87497	526.42468
235	5.06345	-48.59972	307.00388	4.49150	34.72219	523.90967
236	4.65171	-50.63623	311.33936	4.49736	34.48696	521.39734
237	4.24166	-52.67110	315.51514	4.44396	34.14268	518.96533
238	3.90043	-54.70468	319.55847	4.34892	33.68707	516.73657
239	3.66591	-56.72084	323.46283	4.19557	33.13041	514.83215
240	3.53316	-58.67672	327.15091	3.92516	32.48219	513.36639
241	3.46927	-60.47567	330.41357	3.47257	31.76604	512.37299
242	3.45785	-61.97791	332.95670	2.80414	31.04350	511.70975
243	3.50075	-63.02312	334.46436	1.96241	30.38911	511.16876
244	3.59821	-63.48449	334.63699	1.07452	29.84105	510.63806
245	3.73331	-63.29967	333.21927	0.29519	29.41768	510.21661
246	3.87071	-62.49081	330.08887	-0.26970	29.11610	510.19687
247	4.00014	-61.13510	325.26120	-0.59998	28.92045	510.92319
248	4.14036	-59.34202	318.91193	-0.73145	28.82981	512.64874
249	4.30669	-57.24323	311.37268	-0.71094	28.84749	515.45966
250	4.51045	-54.98759	303.05591	-0.57931	28.97599	519.32959
251	4.75712	-52.73457	294.34509	-0.36521	29.23273	524.23187
252	5.00601	-50.60759	285.44565	-0.08656	29.63770	530.19299
253	5.17345	-48.62838	276.33667	0.19440	30.19002	537.30255
254	5.17348	-46.70498	266.85538	0.38092	30.87611	545.61084
255	4.94746	-44.73596	256.88699	0.37944	31.67697	555.02032
256	4.46539	-42.64621	246.39697	0.14430	32.57035	565.32269
257	3.74496	-40.35715	235.40024	-0.30638	33.52247	576.27643
258	2.82618	-37.84602	223.95369	-0.88844	34.49646	587.66138
259	1.75680	-35.16848	212.15518	-1.47378	35.47930	599.31122
260	0.59405	-32.40180	200.14021	-1.96898	36.47816	611.05219
261	-0.57673	-29.63076	188.04274	-2.35906	37.47940	622.66498
262	-1.67567	-26.97997	175.97514	-2.66180	38.40115	633.99518
263	-2.65721	-24.56626	163.98145	-2.89207	39.12090	645.11530
264	-3.49529	-22.44145	152.00899	-3.08075	39.58549	656.32477
265	-4.16223	-20.58350	139.99068	-3.29213	39.83055	667.92456
266	-4.64775	-18.92528	127.91498	-3.61411	39.92974	679.98254
267	-4.97138	-17.37615	115.83580	-4.11449	39.92871	692.23767
268	-5.15754	-15.86753	103.87810	-4.78802	39.84988	704.22162
269	-5.20867	-14.37683	92.20184	-5.57175	39.69526	715.46613
270	-5.13905	-12.91373	80.91498	-6.37953	39.42483	725.73322
271	-4.97940	-11.50157	70.07397	-7.12945	39.01813	735.00256
272	-4.75182	-10.18500	59.73649	-7.77540	38.52543	743.32916
273	-4.47938	-9.00628	49.95139	-8.34848	38.07111	750.74713
