	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
36	0.34685	0.24876	0.00466	0.01029	0.63556	0.00215	0.31735	0.20695	0.01056	0.01170	0.58883	0.02377	0.35137	0.19356	0.01634	-0.01460	0.59706	0.02925	0.23563	0.03125	0.02193	-0.00867	0.40301	0.08643
37	0.34670	0.24899	0.00491	0.01023	0.63622	0.00294	0.31729	0.20708	0.01065	0.01142	0.58945	0.02451	0.35135	0.19378	0.01641	-0.01492	0.59773	0.02969	0.23605	0.03116	0.02191	-0.00963	0.40405	0.08814
38	0.34659	0.24919	0.00499	0.00968	0.63681	0.00426	0.31731	0.20723	0.01093	0.01077	0.59007	0.02589	0.35140	0.19400	0.01673	-0.01564	0.59830	0.03079	0.23648	0.03109	0.02172	-0.01042	0.40476	0.08975
39	0.34643	0.24936	0.00489	0.00833	0.63725	0.00601	0.31728	0.20735	0.01116	0.00955	0.59032	0.02721	0.35139	0.19417	0.01693	-0.01693	0.59843	0.03194	0.23676	0.03104	0.02144	-0.01110	0.40509	0.09147
40	0.34624	0.24944	0.00477	0.00646	0.63743	0.00763	0.31716	0.20739	0.01115	0.00797	0.59012	0.02797	0.35130	0.19423	0.01677	-0.01855	0.59812	0.03266	0.23684	0.03098	0.02123	-0.01177	0.40511	0.09315
41	0.34607	0.24942	0.00474	0.00487	0.63734	0.00849	0.31701	0.20734	0.01093	0.00658	0.58986	0.02840	0.35118	0.19419	0.01641	-0.01994	0.59783	0.03315	0.23683	0.03087	0.02110	-0.01256	0.40507	0.09439
42	0.34597	0.24936	0.00478	0.00411	0.63718	0.00839	0.31691	0.20726	0.01082	0.00575	0.59002	0.02904	0.35108	0.19412	0.01627	-0.02074	0.59803	0.03387	0.23677	0.03077	0.02097	-0.01358	0.40519	0.09487
43	0.34588	0.24931	0.00484	0.00397	0.63716	0.00784	0.31682	0.20722	0.01105	0.00533	0.59071	0.03006	0.35099	0.19405	0.01651	-0.02112	0.59882	0.03497	0.23660	0.03074	0.02075	-0.01484	0.40553	0.09464
44	0.34579	0.24925	0.00485	0.00391	0.63739	0.00750	0.31677	0.20723	0.01160	0.00492	0.59174	0.03134	0.35091	0.19397	0.01698	-0.02149	0.59994	0.03634	0.23623	0.03085	0.02040	-0.01630	0.40602	0.09399
45	0.34578	0.24923	0.00476	0.00361	0.63784	0.00764	0.31681	0.20731	0.01232	0.00432	0.59283	0.03269	0.35093	0.19392	0.01752	-0.02203	0.60113	0.03781	0.23584	0.03107	0.01999	-0.01787	0.40650	0.09316
46	0.34587	0.24929	0.00460	0.00300	0.63849	0.00829	0.31699	0.20745	0.01291	0.00354	0.59372	0.03377	0.35110	0.19397	0.01793	-0.02275	0.60210	0.03908	0.23572	0.03131	0.01966	-0.01943	0.40684	0.09220
47	0.34596	0.24941	0.00447	0.00187	0.63947	0.00944	0.31717	0.20756	0.01303	0.00241	0.59431	0.03420	0.35129	0.19409	0.01798	-0.02380	0.60275	0.03981	0.23601	0.03136	0.01952	-0.02096	0.40696	0.09098
48	0.34598	0.24950	0.00445	0.00001	0.64071	0.01067	0.31722	0.20755	0.01265	0.00073	0.59476	0.03396	0.35138	0.19417	0.01759	-0.02539	0.60321	0.03993	0.23652	0.03116	0.01958	-0.02243	0.40699	0.08939
49	0.34597	0.24949	0.00452	-0.00236	0.64175	0.01113	0.31719	0.20744	0.01208	-0.00136	0.59527	0.03330	0.35138	0.19416	0.01705	-0.02743	0.60365	0.03959	0.23692	0.03088	0.01977	-0.02377	0.40709	0.08766
50	0.34602	0.24946	0.00461	-0.00462	0.64228	0.01037	0.31719	0.20736	0.01172	-0.00340	0.59568	0.03231	0.35140	0.19414	0.01676	-0.02946	0.60397	0.03874	0.23712	0.03074	0.02002	-0.02502	0.40727	0.08617
51	0.34615	0.24946	0.00474	-0.00620	0.64244	0.00892	0.31728	0.20736	0.01167	-0.00491	0.59591	0.03098	0.35148	0.19417	0.01687	-0.03098	0.60416	0.03742	0.23724	0.03074	0.02027	-0.02630	0.40748	0.08486
52	0.34633	0.24944	0.00486	-0.00680	0.64274	0.00758	0.31743	0.20737	0.01178	-0.00566	0.59611	0.02946	0.35160	0.19418	0.01715	-0.03170	0.60445	0.03594	0.23730	0.03079	0.02042	-0.02766	0.40766	0.08303
53	0.34653	0.24936	0.00492	-0.00645	0.64330	0.00669	0.31757	0.20732	0.01180	-0.00565	0.59638	0.02796	0.35171	0.19411	0.01727	-0.03159	0.60491	0.03458	0.23726	0.03082	0.02039	-0.02916	0.40778	0.08034
54	0.34670	0.24927	0.00494	-0.00545	0.64384	0.00629	0.31767	0.20724	0.01162	-0.00514	0.59647	0.02653	0.35180	0.19400	0.01712	-0.03095	0.60524	0.03334	0.23718	0.03083	0.02021	-0.03069	0.40768	0.07722
55	0.34670	0.24925	0.00498	-0.00445	0.64415	0.00642	0.31763	0.20719	0.01128	-0.00461	0.59617	0.02517	0.35176	0.19396	0.01682	-0.03031	0.60515	0.03214	0.23720	0.03075	0.01995	-0.03198	0.40720	0.07423
56	0.34642	0.24934	0.00501	-0.00406	0.64422	0.00705	0.31740	0.20719	0.01096	-0.00449	0.59555	0.02392	0.35155	0.19406	0.01655	-0.03013	0.60459	0.03101	0.23739	0.03057	0.01969	-0.03271	0.40631	0.07144
57	0.34600	0.24946	0.00503	-0.00441	0.64409	0.00788	0.31709	0.20722	0.01084	-0.00483	0.59479	0.02281	0.35127	0.19419	0.01651	-0.03048	0.60374	0.02997	0.23761	0.03035	0.01952	-0.03280	0.40510	0.06869
58	0.34576	0.24948	0.00508	-0.00515	0.64378	0.00849	0.31693	0.20721	0.01103	-0.00538	0.59403	0.02186	0.35111	0.19425	0.01681	-0.03110	0.60277	0.02903	0.23775	0.03020	0.01952	-0.03246	0.40376	0.06581
59	0.34576	0.24943	0.00518	-0.00589	0.64337	0.00876	0.31697	0.20717	0.01142	-0.00587	0.59337	0.02114	0.35114	0.19421	0.01730	-0.03170	0.60185	0.02824	0.23778	0.03015	0.01964	-0.03193	0.40244	0.06276
60	0.34579	0.24933	0.00519	-0.00651	0.64286	0.00885	0.31700	0.20709	0.01159	-0.00628	0.59271	0.02063	0.35116	0.19414	0.01755	-0.03219	0.60096	0.02770	0.23780	0.03008	0.01986	-0.03148	0.40110	0.05960
61	0.34564	0.24916	0.00498	-0.00706	0.64209	0.00885	0.31685	0.20689	0.01121	-0.00668	0.59183	0.02017	0.35102	0.19400	0.01723	-0.03262	0.59991	0.02735	0.23783	0.02983	0.02017	-0.03138	0.39965	0.05651
62	0.34536	0.24889	0.00461	-0.00743	0.64095	0.00870	0.31656	0.20658	0.01050	-0.00703	0.59061	0.01961	0.35075	0.19376	0.01654	-0.03294	0.59861	0.02698	0.23775	0.02949	0.02050	-0.03166	0.39799	0.05367
63	0.34521	0.24856	0.00432	-0.00752	0.63952	0.00842	0.31637	0.20625	0.00997	-0.00717	0.58910	0.01901	0.35057	0.19344	0.01596	-0.03308	0.59705	0.02644	0.23753	0.02921	0.02070	-0.03200	0.39617	0.05110
64	0.34531	0.24831	0.00432	-0.00746	0.63800	0.00822	0.31639	0.20603	0.00982	-0.00715	0.58750	0.01840	0.35059	0.19316	0.01570	-0.03312	0.59537	0.02572	0.23730	0.02911	0.02072	-0.03210	0.39429	0.04863
65	0.34556	0.24823	0.00452	-0.00743	0.63666	0.00820	0.31657	0.20599	0.00990	-0.00710	0.58604	0.01773	0.35077	0.19304	0.01569	-0.03315	0.59379	0.02489	0.23721	0.02918	0.02063	-0.03190	0.39251	0.04601
66	0.34583	0.24828	0.00465	-0.00742	0.63573	0.00820	0.31680	0.20607	0.01000	-0.00701	0.58495	0.01683	0.35098	0.19308	0.01576	-0.03311	0.59255	0.02394	0.23725	0.02933	0.02053	-0.03144	0.39108	0.04302
67	0.34602	0.24833	0.00460	-0.00735	0.63525	0.00806	0.31697	0.20612	0.00996	-0.00682	0.58430	0.01564	0.35115	0.19312	0.01573	-0.03293	0.59177	0.02283	0.23734	0.02943	0.02055	-0.03080	0.39012	0.03982
68	0.34613	0.24828	0.00452	-0.00728	0.63516	0.00784	0.31705	0.20608	0.00972	-0.00660	0.58407	0.01437	0.35122	0.19309	0.01556	-0.03272	0.59141	0.02169	0.23738	0.02942	0.02070	-0.03001	0.38961	0.03684
