	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
289	-2.32202	-21.16273	101.23224	-20.57652	15.15943	724.37335
290	-2.40358	-20.91632	100.42187	-20.55029	15.23583	725.05035
291	-2.48455	-20.66934	99.60938	-20.52286	15.31453	725.72754
292	-2.56490	-20.42179	98.79476	-20.49418	15.39550	726.40497
293	-2.64459	-20.17366	97.97802	-20.46423	15.47872	727.08258
294	-2.72360	-19.92491	97.15915	-20.43296	15.56414	727.76050
295	-2.80186	-19.67557	96.33820	-20.40034	15.65172	728.43872
296	-2.87936	-19.42560	95.51512	-20.36634	15.74144	729.11731
297	-2.95604	-19.17499	94.68995	-20.33091	15.83326	729.79614
298	-3.03189	-18.92374	93.86266	-20.29403	15.92714	730.47546
299	-3.10685	-18.67183	93.03329	-20.25566	16.02304	731.15515
300	-3.18091	-18.41927	92.20185	-20.21576	16.12094	731.83521
301	-3.25403	-18.16608	91.36844	-20.17434	16.22078	732.51575
302	-3.32619	-17.91226	90.53307	-20.13136	16.32253	733.19672
303	-3.39736	-17.65781	89.69578	-20.08680	16.42615	733.87823
304	-3.46750	-17.40277	88.85668	-20.04064	16.53159	734.56024
305	-3.53660	-17.14714	88.01580	-19.99286	16.63883	735.24280
306	-3.60463	-16.89094	87.17318	-19.94344	16.74782	735.92596
307	-3.67155	-16.63416	86.32889	-19.89235	16.85852	736.60968
308	-3.73734	-16.37683	85.48296	-19.83958	16.97090	737.29401
309	-3.80199	-16.11898	84.63551	-19.78511	17.08492	737.97900
310	-3.86546	-15.86064	83.78660	-19.72894	17.20056	738.66467
311	-3.92773	-15.60183	82.93632	-19.67105	17.31779	739.35101
312	-3.98878	-15.34258	82.08472	-19.61143	17.43660	740.03809
313	-4.04859	-15.08294	81.23197	-19.55009	17.55694	740.72577
314	-4.10714	-14.82292	80.37811	-19.48700	17.67880	741.41431
315	-4.16440	-14.56257	79.52322	-19.42215	17.80214	742.10352
316	-4.22035	-14.30191	78.66738	-19.35555	17.92696	742.79352
317	-4.27498	-14.04098	77.81071	-19.28717	18.05321	743.48438
318	-4.32825	-13.77981	76.95329	-19.21702	18.18088	744.17596
319	-4.38016	-13.51846	76.09525	-19.14511	18.30996	744.86829
320	-4.43070	-13.25696	75.23670	-19.07144	18.44043	745.56146
321	-4.47983	-12.99537	74.37772	-18.99601	18.57227	746.25543
322	-4.52756	-12.73374	73.51849	-18.91883	18.70547	746.95026
323	-4.57385	-12.47211	72.65907	-18.83991	18.84001	747.64581
324	-4.61871	-12.21053	71.79961	-18.75926	18.97588	748.34229
325	-4.66210	-11.94904	70.94019	-18.67686	19.11306	749.03943
326	-4.70401	-11.68769	70.08093	-18.59274	19.25153	749.73743
327	-4.74445	-11.42654	69.22198	-18.50692	19.39128	750.43616
328	-4.78341	-11.16565	68.36346	-18.41944	19.53228	751.13562
329	-4.82088	-10.90508	67.50549	-18.33031	19.67451	751.83575
330	-4.85688	-10.64488	66.64818	-18.23959	19.81795	752.53656
331	-4.89139	-10.38512	65.79171	-18.14729	19.96258	753.23792
332	-4.92441	-10.12587	64.93619	-18.05346	20.10837	753.93976
333	-4.95594	-9.86717	64.08175	-17.95812	20.25531	754.64221
334	-4.98598	-9.60910	63.22852	-17.86130	20.40338	755.34497
335	-5.01453	-9.35170	62.37662	-17.76305	20.55255	756.04822
336	-5.04160	-9.09505	61.52620	-17.66340	20.70280	756.75171
337	-5.06719	-8.83922	60.67737	-17.56242	20.85411	757.45544
338	-5.09131	-8.58427	59.83028	-17.46016	21.00645	758.15918
339	-5.11396	-8.33026	58.98501	-17.35666	21.15981	758.86292
340	-5.13516	-8.07728	58.14177	-17.25199	21.31415	759.56665
341	-5.15491	-7.82539	57.30064	-17.14620	21.46945	760.27002
342	-5.17322	-7.57465	56.46177	-17.03934	21.62570	760.97302
343	-5.19009	-7.32513	55.62527	-16.93146	21.78286	761.67560
