	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
264	0.21420	0.04959	0.01086	-0.00994	0.40519	0.02475
265	0.21449	0.04959	0.01099	-0.00966	0.40532	0.02233
266	0.21459	0.04975	0.01090	-0.00930	0.40574	0.01998
267	0.21445	0.05009	0.01079	-0.00877	0.40615	0.01792
268	0.21420	0.05050	0.01089	-0.00803	0.40638	0.01636
269	0.21407	0.05082	0.01117	-0.00719	0.40643	0.01529
270	0.21408	0.05094	0.01151	-0.00639	0.40630	0.01459
271	0.21400	0.05103	0.01178	-0.00572	0.40607	0.01416
272	0.21368	0.05141	0.01195	-0.00520	0.40586	0.01387
273	0.21323	0.05206	0.01208	-0.00480	0.40571	0.01354
274	0.21287	0.05261	0.01229	-0.00439	0.40557	0.01307
275	0.21271	0.05290	0.01265	-0.00395	0.40546	0.01249
276	0.21263	0.05315	0.01309	-0.00373	0.40554	0.01192
277	0.21254	0.05359	0.01362	-0.00393	0.40589	0.01142
278	0.21250	0.05413	0.01429	-0.00441	0.40644	0.01101
279	0.21258	0.05448	0.01513	-0.00485	0.40696	0.01069
280	0.21276	0.05448	0.01611	-0.00500	0.40722	0.01042
281	0.21294	0.05424	0.01728	-0.00486	0.40715	0.01022
282	0.21308	0.05406	0.01874	-0.00463	0.40690	0.01013
283	0.21320	0.05415	0.02046	-0.00453	0.40663	0.01016
284	0.21337	0.05456	0.02222	-0.00459	0.40645	0.01019
