	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
189	0.14898	0.00127	0.01362	0.10516	0.47698	0.00979
190	0.14848	0.00138	0.01360	0.10510	0.47728	0.00985
191	0.14799	0.00151	0.01355	0.10505	0.47747	0.00996
192	0.14771	0.00167	0.01350	0.10504	0.47746	0.01013
193	0.14759	0.00182	0.01353	0.10487	0.47727	0.01034
194	0.14750	0.00190	0.01368	0.10462	0.47702	0.01055
195	0.14736	0.00183	0.01391	0.10464	0.47681	0.01071
196	0.14717	0.00157	0.01420	0.10499	0.47666	0.01082
197	0.14699	0.00121	0.01453	0.10532	0.47660	0.01088
198	0.14684	0.00092	0.01486	0.10527	0.47665	0.01089
199	0.14660	0.00088	0.01523	0.10486	0.47680	0.01087
200	0.14622	0.00117	0.01569	0.10444	0.47700	0.01088
201	0.14584	0.00172	0.01632	0.10428	0.47721	0.01096
202	0.14564	0.00237	0.01717	0.10435	0.47741	0.01109
203	0.14561	0.00312	0.01830	0.10453	0.47764	0.01122
204	0.14558	0.00399	0.01990	0.10463	0.47789	0.01133
205	0.14538	0.00492	0.02218	0.10443	0.47807	0.01149
206	0.14502	0.00583	0.02535	0.10379	0.47810	0.01175
207	0.14472	0.00682	0.02961	0.10286	0.47800	0.01205
208	0.14462	0.00824	0.03538	0.10200	0.47787	0.01237
209	0.14478	0.01032	0.04325	0.10159	0.47775	0.01274
210	0.14526	0.01317	0.05379	0.10174	0.47763	0.01311
211	0.14622	0.01711	0.06736	0.10205	0.47754	0.01331
212	0.14770	0.02291	0.08405	0.10214	0.47749	0.01318
213	0.14955	0.03149	0.10391	0.10212	0.47743	0.01284
214	0.15155	0.04327	0.12660	0.10224	0.47729	0.01274
215	0.15363	0.05779	0.15109	0.10243	0.47712	0.01322
216	0.15581	0.07414	0.17615	0.10233	0.47684	0.01423
217	0.15800	0.09184	0.20110	0.10177	0.47633	0.01546
218	0.15990	0.11116	0.22594	0.10084	0.47561	0.01666
219	0.16140	0.13265	0.25079	0.09978	0.47495	0.01772
220	0.16284	0.15647	0.27537	0.09893	0.47457	0.01850
221	0.16459	0.18217	0.29883	0.09861	0.47444	0.01892
222	0.16664	0.20908	0.32015	0.09882	0.47441	0.01909
223	0.16862	0.23701	0.33874	0.09926	0.47454	0.01918
224	0.17040	0.26632	0.35498	0.09956	0.47490	0.01922
225	0.17223	0.29736	0.36990	0.09945	0.47540	0.01914
226	0.17432	0.33000	0.38439	0.09895	0.47586	0.01895
227	0.17644	0.36381	0.39836	0.09840	0.47618	0.01868
228	0.17814	0.39850	0.41074	0.09819	0.47638	0.01836
229	0.17928	0.43413	0.42064	0.09847	0.47651	0.01806
230	0.18011	0.47082	0.42850	0.09919	0.47663	0.01781
231	0.18113	0.50849	0.43557	0.10010	0.47674	0.01761
232	0.18236	0.54698	0.44284	0.10096	0.47674	0.01754
233	0.18303	0.58642	0.45056	0.10168	0.47659	0.01762
234	0.18238	0.62721	0.45876	0.10221	0.47633	0.01781
235	0.18083	0.66965	0.46804	0.10248	0.47613	0.01818
236	0.17963	0.71364	0.47926	0.10255	0.47623	0.01891
237	0.17915	0.75870	0.49253	0.10264	0.47681	0.02008
238	0.17838	0.80445	0.50719	0.10285	0.47781	0.02145
239	0.17638	0.85063	0.52287	0.10303	0.47889	0.02271
240	0.17355	0.89722	0.53988	0.10325	0.47985	0.02368
241	0.17086	0.94435	0.55881	0.10397	0.48075	0.02457
242	0.16860	0.99187	0.57997	0.10556	0.48171	0.02576
243	0.16633	1.03877	0.60317	0.10789	0.48282	0.02744
244	0.16345	1.08371	0.62794	0.11056	0.48403	0.02960
245	0.15952	1.12602	0.65362	0.11314	0.48534	0.03215
246	0.15436	1.16592	0.67955	0.11544	0.48689	0.03511
247	0.14815	1.20416	0.70523	0.11752	0.48868	0.03857
248	0.14105	1.24142	0.73033	0.11948	0.49054	0.04245
249	0.13299	1.27799	0.75443	0.12112	0.49219	0.04629
250	0.12426	1.31390	0.77707	0.12192	0.49351	0.04954
251	0.11622	1.34935	0.79775	0.12150	0.49453	0.05187
252	0.11076	1.38490	0.81626	0.12003	0.49529	0.05334
253	0.10910	1.42111	0.83265	0.11809	0.49568	0.05420
254	0.11105	1.45797	0.84673	0.11643	0.49569	0.05467
