	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
220	3.85766	-36.65890	210.35892	-6.55923	54.14163	449.12366
221	3.86651	-36.56850	210.35272	-6.54938	54.19416	449.29181
222	3.87637	-36.47993	210.35519	-6.53924	54.24678	449.45947
223	3.88721	-36.39320	210.36615	-6.52880	54.29950	449.62662
224	3.89905	-36.30827	210.38544	-6.51807	54.35228	449.79327
225	3.91187	-36.22514	210.41287	-6.50706	54.40511	449.95938
226	3.92567	-36.14379	210.44830	-6.49577	54.45797	450.12500
227	3.94044	-36.06421	210.49155	-6.48422	54.51085	450.29010
228	3.95616	-35.98639	210.54247	-6.47241	54.56373	450.45468
229	3.97284	-35.91031	210.60092	-6.46034	54.61659	450.61877
230	3.99046	-35.83598	210.66673	-6.44803	54.66942	450.78235
231	4.00901	-35.76337	210.73979	-6.43549	54.72220	450.94543
232	4.02849	-35.69250	210.81995	-6.42272	54.77492	451.10800
233	4.04887	-35.62334	210.90704	-6.40972	54.82755	451.27011
234	4.07017	-35.55589	211.00093	-6.39652	54.88008	451.43170
235	4.09236	-35.49014	211.10147	-6.38312	54.93251	451.59280
236	4.11543	-35.42608	211.20853	-6.36953	54.98482	451.75342
237	4.13939	-35.36372	211.32195	-6.35575	55.03697	451.91354
238	4.16421	-35.30305	211.44164	-6.34178	55.08898	452.07318
239	4.18989	-35.24407	211.56743	-6.32765	55.14082	452.23233
240	4.21641	-35.18678	211.69923	-6.31336	55.19246	452.39096
241	4.24378	-35.13119	211.83688	-6.29891	55.24392	452.54913
242	4.27197	-35.07730	211.98029	-6.28431	55.29517	452.70679
243	4.30099	-35.02509	212.12927	-6.26957	55.34620	452.86395
244	4.33081	-34.97458	212.28375	-6.25469	55.39698	453.02060
245	4.36144	-34.92576	212.44359	-6.23969	55.44752	453.17676
246	4.39285	-34.87864	212.60863	-6.22456	55.49780	453.33240
247	4.42505	-34.83321	212.77876	-6.20932	55.54779	453.48755
248	4.45801	-34.78948	212.95387	-6.19396	55.59750	453.64215
249	4.49174	-34.74745	213.13383	-6.17849	55.64689	453.79620
250	4.52621	-34.70712	213.31848	-6.16291	55.69597	453.94977
251	4.56142	-34.66848	213.50774	-6.14722	55.74471	454.10275
252	4.59736	-34.63155	213.70143	-6.13144	55.79311	454.25516
253	4.63402	-34.59631	213.89948	-6.11555	55.84114	454.40701
254	4.67139	-34.56278	214.10172	-6.09957	55.88881	454.55829
255	4.70945	-34.53096	214.30804	-6.08349	55.93608	454.70901
256	4.74818	-34.50084	214.51837	-6.06731	55.98295	454.85907
257	4.78758	-34.47244	214.73254	-6.05102	56.02941	455.00858
258	4.82762	-34.44575	214.95049	-6.03461	56.07543	455.15738
259	4.86830	-34.42078	215.17207	-6.01809	56.12103	455.30560
260	4.90959	-34.39753	215.39720	-6.00144	56.16616	455.45306
261	4.95149	-34.37601	215.62573	-5.98466	56.21083	455.59991
262	4.99397	-34.35622	215.85759	-5.96775	56.25502	455.74603
263	5.03702	-34.33817	216.09264	-5.95071	56.29872	455.89145
264	5.08062	-34.32184	216.33076	-5.93352	56.34192	456.03610
265	5.12475	-34.30725	216.57188	-5.91617	56.38461	456.17999
266	5.16939	-34.29440	216.81586	-5.89866	56.42677	456.32309
267	5.21452	-34.28328	217.06259	-5.88099	56.46841	456.46539
268	5.26013	-34.27390	217.31195	-5.86314	56.50951	456.60684
269	5.30619	-34.26625	217.56386	-5.84510	56.55005	456.74738
270	5.35267	-34.26036	217.81818	-5.82688	56.59005	456.88705
271	5.39957	-34.25619	218.07480	-5.80845	56.62946	457.02582
272	5.44687	-34.25377	218.33363	-5.78982	56.66831	457.16364
273	5.49452	-34.25307	218.59454	-5.77098	56.70656	457.30048
274	5.54253	-34.25411	218.85741	-5.75192	56.74424	457.43634
275	5.59085	-34.25686	219.12215	-5.73265	56.78132	457.57114
276	5.63947	-34.26131	219.38866	-5.71316	56.81781	457.70490
277	5.68836	-34.26746	219.65678	-5.69345	56.85369	457.83755
278	5.73751	-34.27530	219.92644	-5.67351	56.88897	457.96915
279	5.78687	-34.28483	220.19753	-5.65335	56.92364	458.09955
280	5.83643	-34.29602	220.46991	-5.63296	56.95770	458.22879
281	5.88617	-34.30888	220.74348	-5.61234	56.99113	458.35681
282	5.93606	-34.32338	221.01816	-5.59149	57.02394	458.48367
283	5.98608	-34.33953	221.29387	-5.57042	57.05614	458.60925
284	6.03620	-34.35728	221.57040	-5.54914	57.08772	458.73358
285	6.08639	-34.37665	221.84781	-5.52764	57.11866	458.85660
286	6.13663	-34.39761	222.12587	-5.50595	57.14899	458.97830
287	6.18690	-34.42014	222.40454	-5.48405	57.17868	459.09863
288	6.23717	-34.44424	222.68372	-5.46196	57.20775	459.21768
289	6.28741	-34.46989	222.96329	-5.43968	57.23619	459.33527
290	6.33761	-34.49706	223.24316	-5.41722	57.26401	459.45148
291	6.38772	-34.52575	223.52327	-5.39460	57.29119	459.56619
292	6.43774	-34.55594	223.80350	-5.37183	57.31776	459.67953
293	6.48763	-34.58760	224.08379	-5.34893	57.34370	459.79138
294	6.53736	-34.62071	224.36401	-5.32592	57.36903	459.90170
295	6.58691	-34.65526	224.64413	-5.30283	57.39374	460.01053
296	6.63626	-34.69122	224.92401	-5.27966	57.41783	460.11786
297	6.68538	-34.72858	225.20358	-5.25643	57.44132	460.22360
298	6.73424	-34.76732	225.48276	-5.23317	57.46420	460.32779
299	6.78282	-34.80741	225.76146	-5.20988	57.48647	460.43042
300	6.83109	-34.84883	226.03961	-5.18661	57.50814	460.53140
301	6.87904	-34.89156	226.31715	-5.16337	57.52922	460.63083
302	6.92665	-34.93557	226.59396	-5.14020	57.54971	460.72861
303	6.97391	-34.98083	226.87006	-5.11712	57.56962	460.82480
304	7.02077	-35.02732	227.14526	-5.09415	57.58895	460.91934
305	7.06724	-35.07500	227.41959	-5.07133	57.60771	461.01227
306	7.11328	-35.12386	227.69290	-5.04869	57.62590	461.10352
307	7.15889	-35.17388	227.96519	-5.02624	57.64353	461.19315
308	7.20403	-35.22501	228.23634	-5.00403	57.66061	461.28110
309	7.24871	-35.27725	228.50632	-4.98207	57.67713	461.36740
310	7.29289	-35.33056	228.77504	-4.96040	57.69311	461.45203
311	7.33658	-35.38493	229.04243	-4.93904	57.70854	461.53503
312	7.37976	-35.44033	229.30847	-4.91803	57.72344	461.61633
313	7.42240	-35.49674	229.57309	-4.89739	57.73780	461.69595
314	7.46451	-35.55413	229.83618	-4.87716	57.75163	461.77393
315	7.50606	-35.61248	230.09773	-4.85736	57.76494	461.85022
316	7.54705	-35.67177	230.35767	-4.83801	57.77773	461.92484
317	7.58746	-35.73198	230.61592	-4.81916	57.79000	461.99777
318	7.62728	-35.79308	230.87241	-4.80082	57.80175	462.06909
319	7.66650	-35.85505	231.12711	-4.78303	57.81299	462.13870
320	7.70512	-35.91787	231.37993	-4.76580	57.82372	462.20667
321	7.74312	-35.98153	231.63080	-4.74917	57.83394	462.27298
322	7.78049	-36.04601	231.87970	-4.73316	57.84365	462.33765
323	7.81723	-36.11128	232.12651	-4.71780	57.85287	462.40067
324	7.85332	-36.17732	232.37119	-4.70311	57.86158	462.46207
325	7.88876	-36.24411	232.61368	-4.68913	57.86978	462.52179
326	7.92354	-36.31164	232.85390	-4.67587	57.87749	462.57993
327	7.95764	-36.37988	233.09183	-4.66336	57.88470	462.63644
328	7.99108	-36.44881	233.32738	-4.65161	57.89143	462.69131
329	8.02382	-36.51842	233.56047	-4.64064	57.89765	462.74463
330	8.05588	-36.58870	233.79108	-4.63047	57.90339	462.79639
331	8.08724	-36.65960	234.01917	-4.62112	57.90865	462.84656
332	8.11790	-36.73113	234.24460	-4.61261	57.91342	462.89517
333	8.14785	-36.80326	234.46739	-4.60495	57.91771	462.94226
334	8.17708	-36.87598	234.68742	-4.59816	57.92152	462.98782
335	8.20559	-36.94926	234.90468	-4.59226	57.92486	463.03186
