	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
103	0.00000	0.00000	0.73236	0.00000	0.00000	-1.13720
104	0.00000	0.00000	0.72923	0.00000	0.00000	-1.13690
105	0.00000	0.00000	0.72609	0.00000	0.00000	-1.13659
106	0.00000	0.00000	0.72293	0.00000	0.00000	-1.13629
107	0.00000	0.00000	0.71975	0.00000	0.00000	-1.13598
108	0.00000	0.00000	0.71655	0.00000	0.00000	-1.13567
109	0.00000	0.00000	0.71333	0.00000	0.00000	-1.13535
110	0.00000	0.00000	0.71010	0.00000	0.00000	-1.13503
111	0.00000	0.00000	0.70685	0.00000	0.00000	-1.13471
112	0.00000	0.00000	0.70359	0.00000	0.00000	-1.13438
113	0.00000	0.00000	0.70032	0.00000	0.00000	-1.13404
114	0.00000	0.00000	0.69703	0.00000	0.00000	-1.13370
115	0.00000	0.00000	0.69373	0.00000	0.00000	-1.13335
116	0.00000	0.00000	0.69043	0.00000	0.00000	-1.13300
117	0.00000	0.00000	0.68710	0.00000	0.00000	-1.13263
118	0.00000	0.00000	0.68377	0.00000	0.00000	-1.13226
119	0.00000	0.00000	0.68044	0.00000	0.00000	-1.13188
120	0.00000	0.00000	0.67709	0.00000	0.00000	-1.13149
121	0.00000	0.00000	0.67373	0.00000	0.00000	-1.13110
122	0.00000	0.00000	0.67037	0.00000	0.00000	-1.13069
123	0.00000	0.00000	0.66699	0.00000	0.00000	-1.13027
124	0.00000	0.00000	0.66361	0.00000	0.00000	-1.12983
125	0.00000	0.00000	0.66022	0.00000	0.00000	-1.12939
126	0.00000	0.00000	0.65682	0.00000	0.00000	-1.12894
127	0.00000	0.00000	0.65341	0.00000	0.00000	-1.12847
128	0.00000	0.00000	0.64999	0.00000	0.00000	-1.12799
129	0.00000	0.00000	0.64657	0.00000	0.00000	-1.12749
130	0.00000	0.00000	0.64313	0.00000	0.00000	-1.12699
131	0.00000	0.00000	0.63969	0.00000	0.00000	-1.12647
132	0.00000	0.00000	0.63624	0.00000	0.00000	-1.12594
133	0.00000	0.00000	0.63278	0.00000	0.00000	-1.12539
134	0.00000	0.00000	0.62931	0.00000	0.00000	-1.12484
135	0.00000	0.00000	0.62584	0.00000	0.00000	-1.12428
136	0.00000	0.00000	0.62235	0.00000	0.00000	-1.12370
137	0.00000	0.00000	0.61886	0.00000	0.00000	-1.12312
138	0.00000	0.00000	0.61537	0.00000	0.00000	-1.12252
139	0.00000	0.00000	0.61186	0.00000	0.00000	-1.12192
140	0.00000	0.00000	0.60835	0.00000	0.00000	-1.12131
141	0.00000	0.00000	0.60484	0.00000	0.00000	-1.12069
142	0.00000	0.00000	0.60132	0.00000	0.00000	-1.12007
143	0.00000	0.00000	0.59780	0.00000	0.00000	-1.11944
144	0.00000	0.00000	0.59427	0.00000	0.00000	-1.11880
145	0.00000	0.00000	0.59075	0.00000	0.00000	-1.11816
146	0.00000	0.00000	0.58722	0.00000	0.00000	-1.11752
147	0.00000	0.00000	0.58368	0.00000	0.00000	-1.11687
148	0.00000	0.00000	0.58015	0.00000	0.00000	-1.11621
149	0.00000	0.00000	0.57662	0.00000	0.00000	-1.11556
150	0.00000	0.00000	0.57308	0.00000	0.00000	-1.11490
151	0.00000	0.00000	0.56955	0.00000	0.00000	-1.11424
152	0.00000	0.00000	0.56601	0.00000	0.00000	-1.11359
153	0.00000	0.00000	0.56247	0.00000	0.00000	-1.11293
154	0.00000	0.00000	0.55893	0.00000	0.00000	-1.11227
155	0.00000	0.00000	0.55539	0.00000	0.00000	-1.11161
156	0.00000	0.00000	0.55185	0.00000	0.00000	-1.11095
157	0.00000	0.00000	0.54831	0.00000	0.00000	-1.11030
158	0.00000	0.00000	0.54477	0.00000	0.00000	-1.10964
159	0.00000	0.00000	0.54123	0.00000	0.00000	-1.10898
160	0.00000	0.00000	0.53769	0.00000	0.00000	-1.10832
161	0.00000	0.00000	0.53415	0.00000	0.00000	-1.10767
162	0.00000	0.00000	0.53062	0.00000	0.00000	-1.10701
163	0.00000	0.00000	0.52708	0.00000	0.00000	-1.10635
164	0.00000	0.00000	0.52356	0.00000	0.00000	-1.10568
165	0.00000	0.00000	0.52003	0.00000	0.00000	-1.10502
166	0.00000	0.00000	0.51652	0.00000	0.00000	-1.10435
167	0.00000	0.00000	0.51301	0.00000	0.00000	-1.10368
168	0.00000	0.00000	0.50952	0.00000	0.00000	-1.10300
169	0.00000	0.00000	0.50604	0.00000	0.00000	-1.10231
170	0.00000	0.00000	0.50257	0.00000	0.00000	-1.10161
171	0.00000	0.00000	0.49913	0.00000	0.00000	-1.10091
172	0.00000	0.00000	0.49570	0.00000	0.00000	-1.10019
173	0.00000	0.00000	0.49229	0.00000	0.00000	-1.09947
174	0.00000	0.00000	0.48891	0.00000	0.00000	-1.09873
175	0.00000	0.00000	0.48555	0.00000	0.00000	-1.09798
176	0.00000	0.00000	0.48222	0.00000	0.00000	-1.09722
177	0.00000	0.00000	0.47891	0.00000	0.00000	-1.09645
178	0.00000	0.00000	0.47563	0.00000	0.00000	-1.09567
179	0.00000	0.00000	0.47237	0.00000	0.00000	-1.09487
180	0.00000	0.00000	0.46915	0.00000	0.00000	-1.09407
181	0.00000	0.00000	0.46595	0.00000	0.00000	-1.09325
182	0.00000	0.00000	0.46278	0.00000	0.00000	-1.09243
183	0.00000	0.00000	0.45964	0.00000	0.00000	-1.09159
184	0.00000	0.00000	0.45654	0.00000	0.00000	-1.09075
185	0.00000	0.00000	0.45346	0.00000	0.00000	-1.08989
186	0.00000	0.00000	0.45042	0.00000	0.00000	-1.08903
187	0.00000	0.00000	0.44742	0.00000	0.00000	-1.08817
188	0.00000	0.00000	0.44444	0.00000	0.00000	-1.08729
189	0.00000	0.00000	0.44151	0.00000	0.00000	-1.08642
190	0.00000	0.00000	0.43860	0.00000	0.00000	-1.08554
191	0.00000	0.00000	0.43574	0.00000	0.00000	-1.08465
192	0.00000	0.00000	0.43291	0.00000	0.00000	-1.08377
193	0.00000	0.00000	0.43012	0.00000	0.00000	-1.08288
194	0.00000	0.00000	0.42736	0.00000	0.00000	-1.08199
195	0.00000	0.00000	0.42464	0.00000	0.00000	-1.08110
196	0.00000	0.00000	0.42196	0.00000	0.00000	-1.08022
197	0.00000	0.00000	0.41931	0.00000	0.00000	-1.07933
198	0.00000	0.00000	0.41670	0.00000	0.00000	-1.07845
199	0.00000	0.00000	0.41413	0.00000	0.00000	-1.07757
200	0.00000	0.00000	0.41159	0.00000	0.00000	-1.07669
201	0.00000	0.00000	0.40909	0.00000	0.00000	-1.07582
202	0.00000	0.00000	0.40662	0.00000	0.00000	-1.07496
203	0.00000	0.00000	0.40419	0.00000	0.00000	-1.07409
204	0.00000	0.00000	0.40180	0.00000	0.00000	-1.07324
205	0.00000	0.00000	0.39944	0.00000	0.00000	-1.07238
206	0.00000	0.00000	0.39712	0.00000	0.00000	-1.07153
207	0.00000	0.00000	0.39484	0.00000	0.00000	-1.07068
208	0.00000	0.00000	0.39260	0.00000	0.00000	-1.06984
209	0.00000	0.00000	0.39039	0.00000	0.00000	-1.06900
210	0.00000	0.00000	0.38822	0.00000	0.00000	-1.06816
211	0.00000	0.00000	0.38609	0.00000	0.00000	-1.06733
212	0.00000	0.00000	0.38400	0.00000	0.00000	-1.06650
213	0.00000	0.00000	0.38195	0.00000	0.00000	-1.06567
214	0.00000	0.00000	0.37994	0.00000	0.00000	-1.06484
215	0.00000	0.00000	0.37798	0.00000	0.00000	-1.06402
216	0.00000	0.00000	0.37606	0.00000	0.00000	-1.06319
217	0.00000	0.00000	0.37418	0.00000	0.00000	-1.06237
