	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\FinishedElbowE1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
261	-3.28592	-49.34552	326.49286	-0.61434	41.22500	460.70786
262	-3.28650	-49.37094	326.61761	-0.60891	41.20697	460.58777
263	-3.28693	-49.39586	326.74075	-0.60323	41.18932	460.46945
264	-3.28720	-49.42026	326.86227	-0.59730	41.17205	460.35272
265	-3.28733	-49.44414	326.98221	-0.59111	41.15516	460.23773
266	-3.28731	-49.46750	327.10049	-0.58468	41.13865	460.12436
267	-3.28713	-49.49034	327.21722	-0.57800	41.12254	460.01270
268	-3.28682	-49.51266	327.33237	-0.57106	41.10681	459.90262
269	-3.28635	-49.53444	327.44589	-0.56388	41.09148	459.79422
270	-3.28574	-49.55570	327.55783	-0.55645	41.07653	459.68741
271	-3.28499	-49.57642	327.66821	-0.54877	41.06200	459.58228
272	-3.28409	-49.59661	327.77701	-0.54085	41.04786	459.47870
273	-3.28305	-49.61628	327.88422	-0.53268	41.03412	459.37680
274	-3.28187	-49.63541	327.98993	-0.52427	41.02078	459.27640
275	-3.28053	-49.65400	328.09409	-0.51563	41.00784	459.17764
276	-3.27906	-49.67207	328.19669	-0.50675	40.99530	459.08032
277	-3.27743	-49.68961	328.29782	-0.49764	40.98315	458.98465
278	-3.27566	-49.70662	328.39743	-0.48831	40.97140	458.89044
279	-3.27373	-49.72311	328.49557	-0.47875	40.96004	458.79782
280	-3.27166	-49.73908	328.59222	-0.46897	40.94907	458.70660
281	-3.26944	-49.75453	328.68744	-0.45898	40.93850	458.61691
282	-3.26706	-49.76945	328.78122	-0.44877	40.92831	458.52863
283	-3.26454	-49.78386	328.87354	-0.43834	40.91851	458.44183
284	-3.26187	-49.79775	328.96445	-0.42770	40.90909	458.35648
285	-3.25906	-49.81113	329.05399	-0.41685	40.90005	458.27252
286	-3.25610	-49.82401	329.14212	-0.40579	40.89140	458.18997
