	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
260	-2.76552	-42.71446	241.12766	0.40006	46.95787	462.44919
261	-2.76566	-42.72498	241.20276	0.40495	46.95792	462.40472
262	-2.76561	-42.73583	241.27818	0.40975	46.95780	462.35999
263	-2.76538	-42.74702	241.35394	0.41445	46.95749	462.31503
264	-2.76497	-42.75855	241.43002	0.41904	46.95699	462.26974
265	-2.76437	-42.77043	241.50645	0.42353	46.95631	462.22418
266	-2.76359	-42.78266	241.58319	0.42789	46.95543	462.17828
267	-2.76264	-42.79526	241.66032	0.43215	46.95438	462.13208
268	-2.76150	-42.80822	241.73781	0.43628	46.95312	462.08548
269	-2.76019	-42.82156	241.81564	0.44028	46.95168	462.03848
270	-2.75870	-42.83527	241.89383	0.44415	46.95004	461.99106
271	-2.75703	-42.84937	241.97243	0.44789	46.94821	461.94324
272	-2.75519	-42.86386	242.05141	0.45150	46.94618	461.89493
273	-2.75318	-42.87875	242.13077	0.45496	46.94397	461.84619
274	-2.75099	-42.89403	242.21053	0.45829	46.94155	461.79694
275	-2.74864	-42.90971	242.29068	0.46149	46.93895	461.74719
276	-2.74611	-42.92579	242.37125	0.46456	46.93615	461.69693
277	-2.74342	-42.94228	242.45224	0.46751	46.93317	461.64612
278	-2.74056	-42.95917	242.53366	0.47032	46.93000	461.59482
279	-2.73753	-42.97648	242.61551	0.47302	46.92664	461.54294
280	-2.73435	-42.99419	242.69778	0.47559	46.92310	461.49045
281	-2.73100	-43.01232	242.78050	0.47804	46.91938	461.43741
282	-2.72749	-43.03085	242.86368	0.48038	46.91549	461.38373
