Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026,-10.52486,22.55305,-9.98118,-45.83295,20.68854,-1.12227,-22.3334,29.1395,-10.86499,-80.85736,48.54554,3.39045,-4.22012,11.61676,-8.30227,-40.76904,20.52321,-1.42826,-93.2263,88.35003,-8.37235,-0.51782,-17.70324,8.90687,5.59009,-0.53173,-2.01669,3.87744,-3.67004,2.22454,-0.33342,1.5427,0.27303,1.58574,-2.75343,2.37165,-0.0555,0.58836,-0.11665,0.00641,-0.4817,0.41621
2027,-10.74875,25.69727,-10.87224,-44.58539,18.88705,-1.61841,-22.2495,36.05463,-12.73101,-77.81096,40.38179,1.02584,-4.25985,12.56413,-8.77001,-40.82558,21.34326,-1.62457,-91.54112,87.90147,-17.0364,5.72777,-27.83738,5.26397,3.47678,1.03724,-0.09902,3.98135,-3.03646,1.39408,-0.91618,0.94382,0.61532,1.65801,-2.61976,2.07067,-0.19397,0.4109,-0.06266,0.13515,-0.29269,0.34388
2028,-10.84164,27.93264,-11.36937,-43.19154,19.03447,-1.96407,-23.26318,40.92287,-12.89315,-71.853,36.41454,-1.19621,-4.30128,13.57008,-9.14121,-41.37355,22.55655,-1.66337,-84.68333,87.24627,-24.09617,3.21557,-24.807,4.67994,0.23932,3.36681,2.85464,3.42037,-2.61449,1.15251,-1.79233,0.42386,1.33745,1.67887,-2.33555,1.72009,-0.42491,0.21235,0.08736,0.21175,-0.1552,0.25647
2029,-11.2318,29.02123,-11.64075,-42.34474,20.87404,-1.89745,-23.87556,38.40575,-11.87986,-69.78277,39.60793,-0.92916,-4.44875,14.67767,-9.49747,-42.30725,24.18658,-1.49762,-80.66621,84.32728,-21.91403,-0.73819,-13.93608,5.96298,-1.94079,4.39935,3.67763,3.83091,-3.3391,1.99499,-1.86647,0.99381,1.43923,2.06733,-2.45721,1.99255,-0.41364,0.2492,0.10145,0.24485,-0.1874,0.30903
2030,-12.59913,29.32375,-11.99147,-42.28937,22.22801,-1.55076,-24.6026,30.41363,-11.2385,-76.19991,45.75944,1.38962,-4.69767,15.79832,-9.93912,-43.40362,26.08902,-1.22852,-88.07756,79.54917,-12.62439,-7.51469,-10.35993,13.40149,-3.26461,4.60524,3.57797,6.56586,-4.76593,3.28921,-1.55048,1.78159,1.31808,2.98213,-2.63508,2.82692,-0.25254,0.37696,0.03601,0.30782,-0.28494,0.48017
2031,-14.89678,29.84086,-12.57283,-42.6461,22.22228,-1.29226,-28.34621,26.2681,-11.87678,-88.98804,50.56593,2.75148,-4.91521,16.80667,-10.47649,-44.52287,28.10734,-0.97335,-110.38297,81.76794,-7.12214,-21.95242,-18.91841,28.48697,-4.32425,5.82117,5.35758,10.37742,-6.07135,4.36337,-2.0335,1.75542,2.14038,3.8729,-2.23547,3.48835,-0.32462,0.36905,0.15604,0.41354,-0.27962,0.61812
2032,-16.31992,31.94179,-13.32766,-42.12077,22.65722,-1.18905,-31.88575,32.14986,-13.4027,-96.11281,53.46605,2.22064,-4.98438,17.93327,-11.01886,-45.48757,30.23078,-0.68223,-127.68966,95.54815,-10.426,-37.80949,-31.03901,41.40019,-4.74239,8.0007,8.54192,11.1984,-5.26894,4.16286,-3.21268,1.18185,3.8635,3.80656,-1.10094,3.19192,-0.69064,0.20201,0.59506,0.4536,-0.13727,0.57572
2033,-15.73312,35.09426,-14.00253,-40.0297,24.74205,-1.07338,-30.75839,42.38079,-14.64316,-88.41492,54.92112,1.5016,-4.93346,19.41434,-11.48361,-46.03801,32.52329,-0.28972,-119.83382,109.41248,-16.88345,-41.14915,-39.4319,40.20485,-4.07714,8.9414,10.03604,7.20722,-0.79775,1.84296,-3.92126,0.99876,5.24336,2.80137,0.12834,2.14097,-0.98484,0.06228,1.14558,0.35003,-0.00347,0.37042
2034,-14.98558,37.6225,-14.51451,-37.55009,26.93092,-0.87286,-29.15538,48.68177,-15.37285,-74.15707,53.08542,1.07982,-4.87812,21.18444,-11.91557,-46.01577,34.9771,0.11824,-100.49515,110.38454,-22.57285,-27.66182,-44.95976,27.45067,-2.78441,7.35718,8.31068,2.99443,3.79664,-0.73688,-3.85217,1.71249,5.43688,2.34093,0.06444,1.67254,-0.96863,0.14182,1.39177,0.23361,-0.08036,0.23799
2035,-15.99933,39.51032,-15.08351,-36.31179,27.51196,-0.63622,-32.31522,50.29588,-16.44915,-70.01271,47.63679,0.16697,-4.87793,23.1387,-12.39923,-45.51232,37.43197,0.37947,-96.64944,101.91016,-28.45095,-5.9422,-46.58148,14.46269,-1.63506,3.65563,4.11819,3.76351,4.02807,-1.14154,-3.0676,2.38236,3.94487,3.37356,-1.52534,2.37509,-0.66356,0.27068,1.03145,0.27834,-0.32443,0.32586
2036,-17.26978,41.4715,-15.68597,-36.98427,26.99389,-0.4536,-35.37724,49.42213,-17.59474,-83.65524,44.06522,-1.11523,-4.87862,25.2039,-12.86237,-44.83353,39.63897,0.40303,-114.12902,96.90324,-32.03044,10.5695,-39.67717,8.57934,-2.1254,0.36733,0.24626,7.95068,0.77312,0.22357,-2.06534,2.29984,1.35154,4.81309,-3.24547,3.28977,-0.37179,0.28858,0.37153,0.43219,-0.53125,0.52311
2037,-16.88449,43.30649,-16.00644,-38.26368,27.41102,-0.33873,-32.76385,47.05804,-17.3036,-103.79267,48.16259,-1.67902,-4.79542,27.28563,-13.20913,-44.10641,41.53358,0.37569,-134.20593,101.68419,-29.33437,13.72384,-28.58965,13.7755,-5.14098,1.55711,0.8018,11.28606,-3.12078,1.96629,-1.31575,1.4637,-0.38826,5.50068,-4.25984,3.67102,-0.24943,0.17066,0.03146,0.56619,-0.67341,0.70782
