	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
32	0.33966	0.19603	0.00525	0.13988	0.68733	0.00338	0.29619	0.17615	0.00935	0.11967	0.64397	0.00711	0.31241	0.15589	0.01486	0.10005	0.66034	0.01460	0.14388	0.07898	0.01975	0.01875	0.48566	0.00980
33	0.33986	0.19578	0.00520	0.13982	0.68740	0.00321	0.29634	0.17600	0.00931	0.11965	0.64403	0.00702	0.31250	0.15572	0.01495	0.09998	0.66040	0.01437	0.14382	0.07913	0.01959	0.01893	0.48559	0.00989
34	0.33991	0.19565	0.00516	0.13974	0.68744	0.00306	0.29637	0.17591	0.00926	0.11959	0.64406	0.00690	0.31251	0.15563	0.01495	0.09989	0.66044	0.01418	0.14376	0.07919	0.01950	0.01898	0.48556	0.00996
35	0.33980	0.19565	0.00516	0.13965	0.68744	0.00306	0.29626	0.17589	0.00917	0.11950	0.64406	0.00673	0.31241	0.15561	0.01480	0.09981	0.66044	0.01403	0.14368	0.07914	0.01956	0.01888	0.48556	0.01012
36	0.33961	0.19570	0.00512	0.13955	0.68739	0.00318	0.29608	0.17591	0.00906	0.11937	0.64399	0.00657	0.31227	0.15561	0.01456	0.09972	0.66040	0.01390	0.14359	0.07904	0.01968	0.01865	0.48557	0.01039
37	0.33949	0.19578	0.00496	0.13946	0.68730	0.00322	0.29598	0.17596	0.00902	0.11924	0.64391	0.00653	0.31218	0.15565	0.01441	0.09960	0.66034	0.01383	0.14354	0.07901	0.01966	0.01840	0.48558	0.01056
38	0.33950	0.19587	0.00472	0.13942	0.68725	0.00309	0.29603	0.17605	0.00911	0.11919	0.64390	0.00675	0.31222	0.15573	0.01449	0.09952	0.66034	0.01395	0.14357	0.07910	0.01946	0.01832	0.48558	0.01052
39	0.33960	0.19597	0.00454	0.13943	0.68730	0.00287	0.29615	0.17619	0.00930	0.11923	0.64399	0.00718	0.31233	0.15586	0.01471	0.09951	0.66041	0.01429	0.14363	0.07928	0.01921	0.01850	0.48557	0.01037
40	0.33966	0.19613	0.00452	0.13948	0.68741	0.00268	0.29622	0.17636	0.00948	0.11934	0.64414	0.00761	0.31239	0.15601	0.01484	0.09958	0.66052	0.01470	0.14366	0.07950	0.01908	0.01879	0.48559	0.01021
41	0.33962	0.19633	0.00456	0.13953	0.68751	0.00255	0.29621	0.17656	0.00968	0.11942	0.64428	0.00796	0.31237	0.15616	0.01484	0.09966	0.66062	0.01512	0.14359	0.07975	0.01907	0.01895	0.48567	0.01001
42	0.33957	0.19647	0.00453	0.13953	0.68754	0.00248	0.29617	0.17671	0.00985	0.11943	0.64435	0.00818	0.31234	0.15624	0.01474	0.09969	0.66067	0.01546	0.14348	0.08002	0.01910	0.01886	0.48580	0.00979
43	0.33957	0.19646	0.00444	0.13948	0.68749	0.00249	0.29618	0.17671	0.00989	0.11935	0.64431	0.00820	0.31234	0.15621	0.01463	0.09966	0.66063	0.01560	0.14342	0.08013	0.01915	0.01862	0.48586	0.00970
44	0.33959	0.19628	0.00438	0.13935	0.68744	0.00259	0.29619	0.17654	0.00979	0.11922	0.64423	0.00803	0.31236	0.15605	0.01460	0.09957	0.66054	0.01555	0.14346	0.07993	0.01922	0.01844	0.48581	0.00977
45	0.33955	0.19610	0.00445	0.13917	0.68748	0.00279	0.29614	0.17632	0.00959	0.11908	0.64419	0.00773	0.31233	0.15590	0.01463	0.09947	0.66049	0.01539	0.14356	0.07950	0.01930	0.01842	0.48571	0.00989
46	0.33948	0.19603	0.00468	0.13902	0.68764	0.00301	0.29606	0.17619	0.00942	0.11898	0.64427	0.00745	0.31227	0.15584	0.01467	0.09937	0.66054	0.01520	0.14365	0.07911	0.01930	0.01852	0.48566	0.00997
47	0.33945	0.19608	0.00491	0.13895	0.68787	0.00314	0.29601	0.17620	0.00944	0.11896	0.64446	0.00743	0.31223	0.15588	0.01478	0.09932	0.66071	0.01513	0.14367	0.07899	0.01913	0.01875	0.48570	0.00997
48	0.33946	0.19613	0.00494	0.13902	0.68803	0.00307	0.29605	0.17627	0.00974	0.11907	0.64465	0.00785	0.31223	0.15593	0.01506	0.09935	0.66089	0.01537	0.14361	0.07915	0.01877	0.01903	0.48577	0.00990
49	0.33947	0.19608	0.00473	0.13915	0.68799	0.00285	0.29610	0.17631	0.01015	0.11921	0.64472	0.00851	0.31223	0.15591	0.01541	0.09941	0.66096	0.01581	0.14345	0.07944	0.01837	0.01922	0.48580	0.00983
50	0.33945	0.19596	0.00450	0.13922	0.68780	0.00264	0.29609	0.17628	0.01037	0.11925	0.64462	0.00892	0.31217	0.15583	0.01562	0.09940	0.66088	0.01604	0.14323	0.07972	0.01812	0.01926	0.48570	0.00986
51	0.33943	0.19584	0.00454	0.13916	0.68764	0.00263	0.29602	0.17622	0.01029	0.11918	0.64445	0.00875	0.31208	0.15576	0.01557	0.09930	0.66074	0.01574	0.14305	0.07985	0.01811	0.01921	0.48552	0.01006
52	0.33947	0.19581	0.00478	0.13906	0.68760	0.00280	0.29600	0.17618	0.00999	0.11907	0.64431	0.00818	0.31206	0.15574	0.01531	0.09920	0.66062	0.01515	0.14303	0.07983	0.01824	0.01911	0.48538	0.01029
53	0.33962	0.19580	0.00488	0.13895	0.68758	0.00296	0.29611	0.17614	0.00963	0.11895	0.64421	0.00760	0.31219	0.15572	0.01494	0.09914	0.66053	0.01467	0.14320	0.07974	0.01837	0.01896	0.48532	0.01038
54	0.33985	0.19573	0.00468	0.13887	0.68754	0.00295	0.29633	0.17607	0.00930	0.11887	0.64413	0.00722	0.31243	0.15566	0.01460	0.09910	0.66045	0.01442	0.14346	0.07966	0.01842	0.01881	0.48528	0.01033
55	0.34003	0.19569	0.00432	0.13885	0.68753	0.00277	0.29654	0.17603	0.00916	0.11887	0.64413	0.00712	0.31264	0.15563	0.01453	0.09911	0.66043	0.01437	0.14372	0.07954	0.01843	0.01883	0.48526	0.01022
56	0.34004	0.19574	0.00404	0.13892	0.68766	0.00258	0.29661	0.17604	0.00931	0.11898	0.64428	0.00731	0.31272	0.15569	0.01481	0.09918	0.66056	0.01453	0.14390	0.07935	0.01844	0.01910	0.48531	0.01008
57	0.33989	0.19582	0.00395	0.13900	0.68794	0.00248	0.29653	0.17608	0.00963	0.11913	0.64458	0.00766	0.31267	0.15577	0.01521	0.09929	0.66082	0.01485	0.14396	0.07916	0.01851	0.01948	0.48546	0.00993
58	0.33974	0.19587	0.00404	0.13905	0.68823	0.00249	0.29641	0.17610	0.00987	0.11924	0.64487	0.00791	0.31256	0.15579	0.01541	0.09939	0.66107	0.01517	0.14389	0.07909	0.01864	0.01977	0.48563	0.00984
59	0.33963	0.19592	0.00425	0.13906	0.68838	0.00261	0.29627	0.17614	0.00982	0.11927	0.64499	0.00791	0.31243	0.15580	0.01523	0.09944	0.66117	0.01525	0.14374	0.07918	0.01880	0.01984	0.48573	0.00988
60	0.33955	0.19603	0.00445	0.13901	0.68837	0.00283	0.29614	0.17624	0.00955	0.11921	0.64493	0.00771	0.31231	0.15586	0.01480	0.09942	0.66112	0.01513	0.14359	0.07933	0.01890	0.01975	0.48570	0.00998
61	0.33949	0.19617	0.00454	0.13887	0.68835	0.00304	0.29606	0.17634	0.00929	0.11907	0.64488	0.00761	0.31225	0.15595	0.01441	0.09929	0.66106	0.01510	0.14355	0.07938	0.01882	0.01965	0.48562	0.00996
62	0.33945	0.19630	0.00450	0.13863	0.68842	0.00312	0.29604	0.17641	0.00919	0.11889	0.64494	0.00778	0.31226	0.15604	0.01429	0.09909	0.66108	0.01530	0.14366	0.07924	0.01863	0.01961	0.48558	0.00975
63	0.33941	0.19637	0.00444	0.13839	0.68847	0.00308	0.29603	0.17643	0.00917	0.11868	0.64500	0.00795	0.31227	0.15611	0.01442	0.09884	0.66112	0.01542	0.14381	0.07900	0.01848	0.01953	0.48556	0.00959
64	0.33936	0.19638	0.00453	0.13824	0.68836	0.00302	0.29597	0.17640	0.00906	0.11849	0.64489	0.00771	0.31222	0.15614	0.01451	0.09865	0.66104	0.01507	0.14385	0.07882	0.01852	0.01927	0.48549	0.00975
65	0.33930	0.19631	0.00475	0.13824	0.68808	0.00297	0.29587	0.17633	0.00887	0.11839	0.64459	0.00708	0.31212	0.15610	0.01441	0.09858	0.66083	0.01434	0.14375	0.07879	0.01869	0.01888	0.48540	0.01020
66	0.33926	0.19621	0.00495	0.13835	0.68778	0.00283	0.29580	0.17626	0.00885	0.11842	0.64431	0.00670	0.31204	0.15600	0.01434	0.09864	0.66061	0.01390	0.14361	0.07885	0.01879	0.01866	0.48529	0.01055
67	0.33926	0.19612	0.00496	0.13850	0.68769	0.00258	0.29580	0.17620	0.00913	0.11858	0.64426	0.00699	0.31202	0.15590	0.01451	0.09878	0.66056	0.01417	0.14352	0.07890	0.01873	0.01880	0.48524	0.01049
68	0.33924	0.19604	0.00482	0.13863	0.68781	0.00239	0.29582	0.17615	0.00950	0.11875	0.64445	0.00759	0.31203	0.15582	0.01480	0.09893	0.66070	0.01480	0.14346	0.07892	0.01855	0.01909	0.48534	0.01010
69	0.33925	0.19595	0.00461	0.13870	0.68806	0.00231	0.29587	0.17609	0.00976	0.11887	0.64475	0.00800	0.31205	0.15572	0.01501	0.09904	0.66095	0.01530	0.14342	0.07895	0.01835	0.01929	0.48557	0.00967
