	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
166	0.25464	0.04720	0.08113	-0.02855	0.47046	0.01857
167	0.25613	0.04808	0.08387	-0.02874	0.47041	0.01769
168	0.25804	0.04877	0.08676	-0.02836	0.47012	0.01673
169	0.26021	0.04931	0.08975	-0.02746	0.46978	0.01590
170	0.26235	0.04991	0.09272	-0.02613	0.46958	0.01539
171	0.26415	0.05074	0.09557	-0.02437	0.46961	0.01516
172	0.26552	0.05187	0.09844	-0.02225	0.46985	0.01490
173	0.26655	0.05325	0.10150	-0.01996	0.47032	0.01423
174	0.26722	0.05483	0.10470	-0.01772	0.47098	0.01299
175	0.26730	0.05661	0.10770	-0.01575	0.47153	0.01143
176	0.26671	0.05859	0.11026	-0.01445	0.47170	0.00998
177	0.26574	0.06073	0.11251	-0.01423	0.47157	0.00890
178	0.26469	0.06295	0.11478	-0.01502	0.47141	0.00823
179	0.26361	0.06509	0.11716	-0.01633	0.47135	0.00801
180	0.26245	0.06704	0.11939	-0.01751	0.47135	0.00825
181	0.26119	0.06874	0.12134	-0.01807	0.47147	0.00867
182	0.25987	0.07026	0.12321	-0.01787	0.47182	0.00879
183	0.25867	0.07174	0.12515	-0.01713	0.47240	0.00837
184	0.25787	0.07313	0.12683	-0.01636	0.47306	0.00753
185	0.25766	0.07416	0.12791	-0.01605	0.47352	0.00659
186	0.25803	0.07463	0.12843	-0.01638	0.47358	0.00577
187	0.25887	0.07470	0.12883	-0.01704	0.47331	0.00520
188	0.25989	0.07468	0.12941	-0.01747	0.47303	0.00494
189	0.26072	0.07465	0.13000	-0.01746	0.47289	0.00501
190	0.26130	0.07447	0.13038	-0.01723	0.47289	0.00526
191	0.26185	0.07406	0.13050	-0.01706	0.47299	0.00546
192	0.26243	0.07353	0.13037	-0.01697	0.47317	0.00549
193	0.26293	0.07307	0.13001	-0.01691	0.47343	0.00537
194	0.26331	0.07273	0.12953	-0.01689	0.47378	0.00516
195	0.26358	0.07246	0.12901	-0.01700	0.47422	0.00488
196	0.26353	0.07231	0.12846	-0.01727	0.47463	0.00469
197	0.26294	0.07238	0.12795	-0.01766	0.47477	0.00475
198	0.26202	0.07263	0.12760	-0.01817	0.47457	0.00506
199	0.26115	0.07288	0.12753	-0.01876	0.47420	0.00544
200	0.26042	0.07309	0.12777	-0.01930	0.47388	0.00574
201	0.25966	0.07331	0.12825	-0.01965	0.47366	0.00600
202	0.25893	0.07353	0.12886	-0.01978	0.47342	0.00631
