	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
231	0.14014	0.01812	0.01081	0.05952	0.47059	0.00815
232	0.14008	0.01841	0.01047	0.05964	0.47070	0.00802
233	0.14004	0.01868	0.01014	0.05955	0.47074	0.00783
234	0.14007	0.01869	0.01001	0.05937	0.47061	0.00774
235	0.14009	0.01846	0.01005	0.05918	0.47039	0.00779
236	0.14000	0.01823	0.01017	0.05896	0.47027	0.00794
237	0.13986	0.01819	0.01031	0.05872	0.47030	0.00812
238	0.13981	0.01829	0.01043	0.05851	0.47040	0.00818
239	0.13985	0.01845	0.01050	0.05845	0.47053	0.00799
240	0.13982	0.01862	0.01053	0.05857	0.47064	0.00764
241	0.13959	0.01878	0.01049	0.05879	0.47071	0.00740
242	0.13933	0.01887	0.01035	0.05901	0.47072	0.00743
243	0.13928	0.01883	0.01017	0.05907	0.47068	0.00766
244	0.13950	0.01865	0.01015	0.05887	0.47062	0.00791
245	0.13976	0.01842	0.01039	0.05849	0.47055	0.00808
246	0.13991	0.01827	0.01069	0.05822	0.47048	0.00815
247	0.14000	0.01826	0.01071	0.05826	0.47048	0.00809
248	0.14005	0.01840	0.01043	0.05853	0.47054	0.00791
249	0.13999	0.01857	0.01016	0.05881	0.47056	0.00770
250	0.13986	0.01862	0.01010	0.05900	0.47051	0.00757
251	0.13981	0.01850	0.01021	0.05911	0.47040	0.00761
252	0.13988	0.01838	0.01032	0.05916	0.47026	0.00774
253	0.13998	0.01834	0.01035	0.05919	0.47013	0.00786
254	0.13996	0.01831	0.01037	0.05922	0.47006	0.00786
255	0.13982	0.01826	0.01042	0.05918	0.47007	0.00780
256	0.13965	0.01830	0.01048	0.05905	0.47013	0.00779
257	0.13958	0.01849	0.01051	0.05896	0.47019	0.00786
258	0.13965	0.01867	0.01051	0.05897	0.47022	0.00802
259	0.13980	0.01872	0.01045	0.05902	0.47022	0.00820
260	0.13994	0.01870	0.01030	0.05914	0.47020	0.00830
261	0.13994	0.01877	0.01014	0.05941	0.47018	0.00834
262	0.13982	0.01888	0.01008	0.05977	0.47020	0.00835
263	0.13975	0.01886	0.01014	0.05999	0.47030	0.00820
264	0.13982	0.01860	0.01025	0.05989	0.47042	0.00786
265	0.13996	0.01821	0.01040	0.05953	0.47043	0.00751
266	0.14001	0.01790	0.01055	0.05924	0.47036	0.00732
267	0.13988	0.01781	0.01065	0.05922	0.47033	0.00732
268	0.13969	0.01792	0.01064	0.05930	0.47033	0.00750
269	0.13960	0.01813	0.01054	0.05920	0.47029	0.00780
270	0.13969	0.01831	0.01047	0.05893	0.47014	0.00810
271	0.13984	0.01841	0.01051	0.05879	0.46995	0.00825
272	0.13995	0.01841	0.01061	0.05897	0.46984	0.00818
273	0.13999	0.01827	0.01063	0.05929	0.46986	0.00802
274	0.13999	0.01798	0.01061	0.05954	0.46997	0.00788
275	0.13999	0.01760	0.01062	0.05971	0.47008	0.00780
276	0.14006	0.01735	0.01061	0.05980	0.47019	0.00774
277	0.14018	0.01750	0.01043	0.05976	0.47028	0.00766
278	0.14023	0.01801	0.01013	0.05958	0.47035	0.00762
279	0.14010	0.01854	0.00993	0.05937	0.47036	0.00770
280	0.13985	0.01882	0.00996	0.05922	0.47034	0.00782
281	0.13970	0.01882	0.01010	0.05918	0.47033	0.00789
282	0.13972	0.01866	0.01019	0.05932	0.47031	0.00789
283	0.13976	0.01843	0.01023	0.05964	0.47025	0.00792
284	0.13967	0.01827	0.01034	0.05997	0.47018	0.00798
285	0.13951	0.01829	0.01057	0.06012	0.47015	0.00797
286	0.13941	0.01846	0.01076	0.06012	0.47023	0.00785
287	0.13942	0.01863	0.01076	0.06004	0.47037	0.00768
288	0.13951	0.01868	0.01054	0.05991	0.47051	0.00753
289	0.13957	0.01862	0.01024	0.05982	0.47054	0.00745
290	0.13947	0.01856	0.01010	0.05985	0.47046	0.00745
291	0.13918	0.01858	0.01021	0.05984	0.47027	0.00763
292	0.13885	0.01865	0.01048	0.05964	0.47006	0.00801
293	0.13860	0.01874	0.01072	0.05934	0.46996	0.00836
294	0.13846	0.01882	0.01085	0.05911	0.47007	0.00841
295	0.13843	0.01885	0.01090	0.05904	0.47032	0.00811
296	0.13846	0.01876	0.01097	0.05913	0.47052	0.00773
297	0.13850	0.01857	0.01102	0.05922	0.47058	0.00756
298	0.13857	0.01835	0.01103	0.05918	0.47060	0.00761
299	0.13866	0.01826	0.01097	0.05904	0.47066	0.00768
300	0.13875	0.01835	0.01089	0.05897	0.47077	0.00763
301	0.13880	0.01849	0.01083	0.05902	0.47082	0.00755
302	0.13878	0.01854	0.01086	0.05905	0.47081	0.00755
303	0.13871	0.01848	0.01095	0.05897	0.47079	0.00764
304	0.13863	0.01843	0.01102	0.05878	0.47079	0.00775
305	0.13859	0.01851	0.01097	0.05865	0.47079	0.00784
306	0.13864	0.01871	0.01079	0.05869	0.47078	0.00788
307	0.13878	0.01894	0.01060	0.05885	0.47078	0.00787
308	0.13895	0.01909	0.01046	0.05903	0.47080	0.00786
309	0.13909	0.01914	0.01036	0.05919	0.47083	0.00789
310	0.13910	0.01912	0.01032	0.05944	0.47084	0.00794
311	0.13899	0.01905	0.01037	0.05986	0.47078	0.00790
312	0.13884	0.01897	0.01048	0.06024	0.47074	0.00774
313	0.13876	0.01884	0.01063	0.06031	0.47078	0.00755
314	0.13885	0.01867	0.01073	0.06016	0.47085	0.00745
315	0.13911	0.01848	0.01078	0.06003	0.47090	0.00755
316	0.13939	0.01828	0.01085	0.05993	0.47091	0.00776
317	0.13952	0.01811	0.01097	0.05981	0.47088	0.00786
318	0.13949	0.01804	0.01106	0.05968	0.47077	0.00777
319	0.13937	0.01812	0.01108	0.05956	0.47067	0.00764
320	0.13930	0.01833	0.01098	0.05948	0.47059	0.00763
321	0.13938	0.01862	0.01071	0.05958	0.47052	0.00774
322	0.13951	0.01890	0.01029	0.05979	0.47047	0.00788
323	0.13954	0.01906	0.00991	0.05989	0.47045	0.00800
324	0.13943	0.01908	0.00976	0.05986	0.47046	0.00813
325	0.13925	0.01907	0.00983	0.05985	0.47046	0.00825
326	0.13914	0.01915	0.00990	0.05998	0.47041	0.00823
327	0.13918	0.01930	0.00985	0.06017	0.47034	0.00807
328	0.13929	0.01943	0.00980	0.06023	0.47027	0.00798
329	0.13930	0.01945	0.00994	0.06009	0.47023	0.00809
330	0.13915	0.01938	0.01020	0.05996	0.47022	0.00822
331	0.13896	0.01931	0.01036	0.06007	0.47023	0.00814
332	0.13884	0.01927	0.01029	0.06043	0.47016	0.00788
333	0.13868	0.01927	0.01013	0.06078	0.46997	0.00767
334	0.13833	0.01927	0.01003	0.06089	0.46981	0.00762
335	0.13785	0.01921	0.01002	0.06068	0.46978	0.00767
336	0.13748	0.01905	0.01006	0.06036	0.46984	0.00768
