	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
200	0.05730	0.02525	0.00933	0.06644	0.51669	0.00747
201	0.05729	0.02533	0.00933	0.06638	0.51647	0.00742
202	0.05724	0.02543	0.00934	0.06631	0.51610	0.00749
203	0.05726	0.02543	0.00923	0.06647	0.51566	0.00765
204	0.05734	0.02524	0.00910	0.06698	0.51518	0.00798
205	0.05743	0.02496	0.00903	0.06769	0.51474	0.00840
206	0.05749	0.02485	0.00900	0.06826	0.51449	0.00862
207	0.05751	0.02493	0.00895	0.06851	0.51442	0.00853
208	0.05752	0.02502	0.00896	0.06857	0.51426	0.00839
209	0.05751	0.02505	0.00911	0.06876	0.51374	0.00845
210	0.05744	0.02504	0.00941	0.06917	0.51287	0.00874
211	0.05730	0.02500	0.00973	0.06956	0.51195	0.00904
212	0.05713	0.02498	0.00990	0.06966	0.51130	0.00917
213	0.05701	0.02505	0.00988	0.06948	0.51100	0.00913
214	0.05697	0.02518	0.00984	0.06924	0.51090	0.00905
215	0.05694	0.02533	0.00995	0.06921	0.51085	0.00903
216	0.05682	0.02547	0.01029	0.06945	0.51080	0.00904
217	0.05668	0.02557	0.01073	0.06977	0.51074	0.00902
218	0.05664	0.02556	0.01104	0.07006	0.51057	0.00891
219	0.05668	0.02552	0.01104	0.07047	0.51021	0.00867
220	0.05671	0.02563	0.01075	0.07109	0.50968	0.00840
221	0.05667	0.02601	0.01041	0.07175	0.50905	0.00834
222	0.05660	0.02647	0.01027	0.07231	0.50841	0.00861
223	0.05653	0.02675	0.01037	0.07269	0.50788	0.00897
224	0.05646	0.02679	0.01055	0.07277	0.50766	0.00914
225	0.05636	0.02685	0.01072	0.07253	0.50778	0.00907
226	0.05620	0.02706	0.01093	0.07217	0.50807	0.00889
227	0.05605	0.02724	0.01121	0.07193	0.50839	0.00868
228	0.05606	0.02720	0.01154	0.07185	0.50879	0.00847
229	0.05634	0.02702	0.01190	0.07186	0.50941	0.00835
230	0.05676	0.02692	0.01246	0.07197	0.51027	0.00839
231	0.05709	0.02694	0.01337	0.07214	0.51118	0.00849
232	0.05720	0.02699	0.01466	0.07223	0.51194	0.00863
233	0.05715	0.02705	0.01631	0.07207	0.51248	0.00891
234	0.05713	0.02708	0.01827	0.07171	0.51290	0.00936
235	0.05737	0.02691	0.02054	0.07135	0.51332	0.00978
236	0.05805	0.02643	0.02320	0.07112	0.51382	0.00999
237	0.05919	0.02578	0.02646	0.07104	0.51439	0.01005
238	0.06061	0.02525	0.03044	0.07111	0.51501	0.01012
239	0.06207	0.02500	0.03524	0.07134	0.51560	0.01032
240	0.06350	0.02503	0.04100	0.07169	0.51604	0.01071
241	0.06502	0.02534	0.04789	0.07203	0.51621	0.01128
242	0.06700	0.02596	0.05605	0.07226	0.51614	0.01195
243	0.06989	0.02676	0.06566	0.07247	0.51597	0.01266
244	0.07399	0.02774	0.07691	0.07275	0.51582	0.01333
245	0.07930	0.02926	0.08997	0.07296	0.51574	0.01387
246	0.08583	0.03189	0.10495	0.07279	0.51577	0.01417
247	0.09387	0.03587	0.12202	0.07212	0.51588	0.01424
248	0.10380	0.04096	0.14156	0.07111	0.51603	0.01418
249	0.11580	0.04683	0.16386	0.07006	0.51619	0.01402
250	0.12939	0.05348	0.18849	0.06919	0.51636	0.01375
251	0.14371	0.06086	0.21459	0.06859	0.51644	0.01359
252	0.15811	0.06875	0.24155	0.06821	0.51636	0.01390
253	0.17237	0.07716	0.26904	0.06782	0.51618	0.01476
254	0.18639	0.08652	0.29681	0.06727	0.51605	0.01569
255	0.20025	0.09746	0.32479	0.06650	0.51615	0.01612
256	0.21439	0.11039	0.35328	0.06568	0.51643	0.01596
257	0.22917	0.12518	0.38275	0.06509	0.51663	0.01566
258	0.24448	0.14126	0.41330	0.06486	0.51665	0.01570
259	0.26024	0.15825	0.44427	0.06490	0.51660	0.01611
260	0.27668	0.17620	0.47464	0.06519	0.51665	0.01660
261	0.29396	0.19501	0.50375	0.06594	0.51671	0.01704
262	0.31191	0.21412	0.53166	0.06715	0.51669	0.01757
263	0.33022	0.23332	0.55876	0.06844	0.51662	0.01821
264	0.34890	0.25318	0.58535	0.06963	0.51652	0.01880
265	0.36784	0.27443	0.61134	0.07107	0.51625	0.01926
266	0.38620	0.29715	0.63619	0.07323	0.51571	0.01974
267	0.40279	0.32081	0.65908	0.07614	0.51496	0.02043
268	0.41768	0.34487	0.67936	0.07936	0.51423	0.02141
269	0.43242	0.36944	0.69690	0.08239	0.51384	0.02274
270	0.44877	0.39490	0.71197	0.08497	0.51389	0.02444
271	0.46747	0.42138	0.72490	0.08728	0.51399	0.02641
272	0.48811	0.44869	0.73565	0.08965	0.51373	0.02839
273	0.50978	0.47682	0.74416	0.09198	0.51329	0.03028
274	0.53205	0.50668	0.75107	0.09398	0.51309	0.03228
275	0.55524	0.53998	0.75768	0.09572	0.51307	0.03469
276	0.57961	0.57831	0.76499	0.09759	0.51310	0.03755
277	0.60449	0.62248	0.77366	0.09987	0.51324	0.04066
278	0.62818	0.67252	0.78474	0.10259	0.51354	0.04388
279	0.64877	0.72777	0.79922	0.10562	0.51392	0.04731
280	0.66536	0.78742	0.81756	0.10892	0.51419	0.05110
281	0.67784	0.85063	0.84026	0.11260	0.51426	0.05512
282	0.68565	0.91637	0.86768	0.11682	0.51435	0.05895
283	0.68741	0.98386	0.89920	0.12157	0.51470	0.06237
284	0.68166	1.05288	0.93384	0.12680	0.51531	0.06564
285	0.66777	1.12314	0.97185	0.13248	0.51613	0.06898
286	0.64526	1.19284	1.01478	0.13829	0.51732	0.07204
287	0.61372	1.25673	1.06144	0.14319	0.51858	0.07426
288	0.57591	1.30837	1.10523	0.14607	0.51945	0.07543
289	0.53955	1.34227	1.13895	0.14707	0.51990	0.07582
290	0.51585	1.35556	1.15878	0.14714	0.51999	0.07600
291	0.51030	1.35317	1.16669	0.14721	0.51996	0.07604
292	0.51800	1.34369	1.16530	0.14783	0.51979	0.07565
293	0.53026	1.33281	1.15328	0.14888	0.51935	0.07469
294	0.54052	1.31927	1.12964	0.14998	0.51877	0.07325
295	0.54680	1.29788	1.09805	0.15085	0.51808	0.07163
